"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 29 19:33:18 GMT 2024","Thu Aug 29 19:33:20 GMT 2024","2424","","UserDataTest","","UserDataTest","getUserListTest","Get List",""
"passed","Thu Aug 29 19:33:20 GMT 2024","Thu Aug 29 19:33:21 GMT 2024","690","","UserDataTest","","UserDataTest","getListWithEmptyAppIdTest","Get list with empty appid",""
